timestamp,key,mode,device,python,grid_idx,val_auc,val_acc,runtime_sec,status,hp/batch_size,hp/channel_growth,hp/channels_start,hp/class_weighting,hp/conv_blocks,hp/dropout,hp/emb_dim,hp/epochs,hp/grad_clip,hp/kernel_sizes,hp/label_smoothing,hp/learning_rate,hp/loss_fn,hp/optimizer,hp/pooling,hp/scheduler,hp/seed,hp/seq_len,hp/use_batchnorm,hp/vocab_size,hp/weight_decay
2025-09-19T03:54:39.343981+00:00,9f07d5be2c56f8587841727b6c04fa68,scratch,cpu,3.12.4,51,0.777985436893204,0.7241379310344828,15.5,ok,64,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:54:58.717045+00:00,928316ff3d74707131c8ff3365427eb7,scratch,cpu,3.12.4,52,0.7896116504854369,0.6921182266009852,19.37,ok,64,x1.5,128,none,2,0.2,128,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:55:22.440779+00:00,6e4885d4e1ccee89d1513a704212d762,scratch,cpu,3.12.4,53,0.791504854368932,0.6182266009852216,23.71,ok,64,x1.5,160,none,2,0.2,192,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:55:42.360607+00:00,a52ad6a4c443c8017c0ee5e249a931f0,scratch,cpu,3.12.4,54,0.8024514563106796,0.7266009852216748,19.9,ok,64,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:55:55.932625+00:00,70c7493e983002bb6b3b34157895ee28,scratch,cpu,3.12.4,55,0.8085194174757281,0.7019704433497537,13.56,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:56:17.374956+00:00,3c1090e54a03f54b2bb55981f4667c2b,scratch,cpu,3.12.4,56,0.7864077669902912,0.6773399014778325,21.43,ok,128,x1.5,160,none,2,0.2,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:56:46.202095+00:00,d7648cb6a5b94a42c3918811b7c5a0d4,scratch,cpu,3.12.4,57,0.7989805825242718,0.7068965517241379,28.82,ok,128,x1.5,128,none,2,0.25,192,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:57:17.739201+00:00,7ef44bbb84eb9e5cf47609406a40eccc,scratch,cpu,3.12.4,58,0.8006553398058253,0.7093596059113301,31.53,ok,64,x1.5,160,none,2,0.2,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:57:29.640301+00:00,923e9154efbfe475c71e0d62821ca225,scratch,cpu,3.12.4,59,0.7833009708737865,0.6921182266009852,11.89,ok,64,x1.5,128,none,1,0.2,128,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:57:41.309146+00:00,f7407dea853d2d366bdda6b9580c48a6,scratch,cpu,3.12.4,60,0.7966747572815533,0.7561576354679803,11.66,ok,128,x1.5,160,none,1,0.2,128,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:57:57.746989+00:00,c9e63cb8c86d67e9e55fba23807cfc33,scratch,cpu,3.12.4,61,0.778131067961165,0.7142857142857143,16.43,ok,128,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:58:25.057925+00:00,4cf58c239931fb6921e4855bc3ef2985,scratch,cpu,3.12.4,62,0.7822572815533981,0.7068965517241379,27.3,ok,64,x1.5,128,none,2,0.25,160,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:59:01.158911+00:00,5a7d47859b25f95aff95ad75f7ec839f,scratch,cpu,3.12.4,63,0.8063592233009709,0.7068965517241379,36.09,ok,128,x1.5,160,none,2,0.25,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:59:15.674995+00:00,908ac190d8dbf4986bfdf93fee2bf9cf,scratch,cpu,3.12.4,64,0.8127427184466021,0.7142857142857143,14.51,ok,128,x1.5,160,none,1,0.25,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:59:45.829613+00:00,42cceecb3b1c81933ba547bd86a3f77c,scratch,cpu,3.12.4,65,0.7776941747572815,0.7142857142857143,30.15,ok,128,x1.5,160,none,2,0.2,128,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T04:00:02.558885+00:00,bf80cd5e61af8d2ca52af56c9d4d8333,scratch,cpu,3.12.4,66,0.7888592233009709,0.6206896551724138,16.72,ok,64,x1.5,128,none,2,0.2,128,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T04:00:46.581074+00:00,d3c8d1b984c7d873661e138ab0ea12bf,scratch,cpu,3.12.4,67,0.8023058252427184,0.6995073891625616,44.01,ok,64,x1.5,160,none,2,0.2,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T04:00:59.199906+00:00,a9c27808b455fcb20acefcf42819ad4d,scratch,cpu,3.12.4,68,0.7860679611650485,0.7068965517241379,12.61,ok,64,x1.5,128,none,1,0.25,128,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T04:01:18.179173+00:00,6c4766d463650495c930b0c9b4a7d871,scratch,cpu,3.12.4,69,0.7875970873786409,0.687192118226601,18.97,ok,64,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T04:01:30.937946+00:00,eadf50087295d4666f0c256459b2bf26,scratch,cpu,3.12.4,70,0.7996601941747574,0.7167487684729064,12.75,ok,128,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T04:01:38.421877+00:00,e6fbe16c23deba9d14ad829e2d11cd15,scratch,cpu,3.12.4,71,0.7676699029126213,0.6822660098522167,7.47,ok,64,x1.5,128,none,1,0.25,160,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T04:02:05.803588+00:00,835c28bb058e7a5e9470a1df08dc18d6,scratch,cpu,3.12.4,72,0.7970631067961166,0.7044334975369458,27.38,ok,64,x1.5,128,none,2,0.25,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T04:02:17.801972+00:00,9f1d64f409f56f0c06ab25782b262345,scratch,cpu,3.12.4,73,0.7835436893203883,0.7019704433497537,11.99,ok,128,x1.5,128,none,1,0.25,128,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T04:02:47.891202+00:00,23d1cdbd575aceb53c0c1d9cd0bca6f3,scratch,cpu,3.12.4,74,0.7933737864077669,0.6896551724137931,30.08,ok,128,x1.5,160,none,2,0.25,128,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T04:02:59.140090+00:00,f623245ba8313ad9ee6c63bc745bed8b,scratch,cpu,3.12.4,75,0.8044902912621359,0.729064039408867,11.24,ok,64,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T04:03:07.079948+00:00,21ba2852b1e96350d5b519a24964a912,scratch,cpu,3.12.4,76,0.7784466019417475,0.6896551724137931,7.93,ok,128,x1.5,128,none,1,0.2,160,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0002
